<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,11:15:00,30413.80000000,30416.84000000,30412.39000000,30412.39000000,25.29034000
2023/07/01,11:16:00,30412.39000000,30423.29000000,30412.39000000,30423.28000000,50.87303000
2023/07/01,11:17:00,30423.29000000,30440.00000000,30423.28000000,30439.99000000,5.71104000
2023/07/01,11:18:00,30439.99000000,30440.00000000,30418.00000000,30418.01000000,8.65318000
2023/07/01,11:19:00,30418.00000000,30418.01000000,30414.01000000,30414.01000000,9.49397000
2023/07/01,11:20:00,30414.01000000,30415.99000000,30410.12000000,30410.12000000,11.65690000
2023/07/01,11:21:00,30410.13000000,30411.14000000,30406.52000000,30407.99000000,11.31304000
2023/07/01,11:22:00,30407.99000000,30408.00000000,30402.45000000,30402.45000000,5.94090000
2023/07/01,11:23:00,30402.45000000,30405.72000000,30402.45000000,30404.95000000,6.82635000
2023/07/01,11:24:00,30404.95000000,30406.50000000,30402.34000000,30406.50000000,15.15279000
2023/07/01,11:25:00,30406.49000000,30406.50000000,30406.49000000,30406.50000000,2.99806000
2023/07/01,11:26:00,30406.50000000,30406.50000000,30400.03000000,30400.04000000,6.66576000
2023/07/01,11:27:00,30400.03000000,30405.56000000,30400.03000000,30405.55000000,6.74806000
2023/07/01,11:28:00,30405.56000000,30406.50000000,30404.42000000,30404.43000000,10.54161000
2023/07/01,11:29:00,30404.42000000,30405.45000000,30400.03000000,30405.42000000,20.64154000
2023/07/01,11:30:00,30405.42000000,30420.00000000,30405.42000000,30408.03000000,16.02786000
2023/07/01,11:31:00,30408.04000000,30408.04000000,30399.80000000,30405.99000000,20.73926000
2023/07/01,11:32:00,30406.00000000,30406.00000000,30404.27000000,30405.98000000,3.92751000
2023/07/01,11:33:00,30405.99000000,30405.99000000,30390.86000000,30401.00000000,57.21171000
2023/07/01,11:34:00,30400.99000000,30401.00000000,30397.96000000,30397.97000000,4.56208000
2023/07/01,11:35:00,30397.96000000,30399.92000000,30397.96000000,30399.92000000,5.79545000
2023/07/01,11:36:00,30399.92000000,30399.92000000,30399.91000000,30399.92000000,5.70318000
2023/07/01,11:37:00,30399.92000000,30399.92000000,30390.85000000,30390.85000000,6.28036000
2023/07/01,11:38:00,30390.85000000,30393.71000000,30388.00000000,30393.71000000,8.32072000
2023/07/01,11:39:00,30393.71000000,30398.00000000,30392.00000000,30392.00000000,23.74790000
2023/07/01,11:40:00,30392.00000000,30398.00000000,30390.34000000,30390.35000000,34.73795000
2023/07/01,11:41:00,30390.34000000,30391.99000000,30385.00000000,30385.00000000,15.23647000
2023/07/01,11:42:00,30385.01000000,30385.01000000,30382.14000000,30382.14000000,14.69759000
2023/07/01,11:43:00,30382.15000000,30382.67000000,30382.14000000,30382.15000000,9.04471000
2023/07/01,11:44:00,30382.15000000,30382.16000000,30382.15000000,30382.16000000,4.08290000
2023/07/01,11:45:00,30382.16000000,30383.08000000,30375.85000000,30381.11000000,19.75041000
2023/07/01,11:46:00,30381.10000000,30393.99000000,30380.00000000,30393.98000000,13.00176000
2023/07/01,11:47:00,30393.99000000,30399.21000000,30393.98000000,30399.20000000,15.60396000
2023/07/01,11:48:00,30399.21000000,30399.21000000,30395.02000000,30395.02000000,5.88853000
2023/07/01,11:49:00,30395.02000000,30395.03000000,30395.02000000,30395.03000000,5.81800000
2023/07/01,11:50:00,30395.02000000,30397.44000000,30395.02000000,30397.43000000,4.63423000
2023/07/01,11:51:00,30397.44000000,30397.44000000,30395.01000000,30395.01000000,5.78800000
2023/07/01,11:52:00,30395.02000000,30396.72000000,30395.00000000,30396.00000000,7.05953000
2023/07/01,11:53:00,30396.00000000,30396.01000000,30391.81000000,30391.81000000,10.41067000
2023/07/01,11:54:00,30391.82000000,30391.82000000,30391.24000000,30391.51000000,5.15405000
2023/07/01,11:55:00,30391.52000000,30396.41000000,30391.51000000,30396.41000000,6.19693000
2023/07/01,11:56:00,30396.41000000,30398.00000000,30396.40000000,30397.99000000,3.32948000
2023/07/01,11:57:00,30397.99000000,30398.02000000,30397.99000000,30398.02000000,6.19468000
2023/07/01,11:58:00,30398.02000000,30398.02000000,30398.01000000,30398.01000000,1.89934000
2023/07/01,11:59:00,30398.01000000,30398.02000000,30398.01000000,30398.01000000,3.28549000
2023/07/01,12:00:00,30398.02000000,30417.62000000,30398.01000000,30414.85000000,60.01302000
2023/07/01,12:01:00,30414.85000000,30414.86000000,30414.85000000,30414.85000000,8.37548000
2023/07/01,12:02:00,30414.85000000,30415.00000000,30414.85000000,30415.00000000,4.80313000
2023/07/01,12:03:00,30414.99000000,30415.00000000,30408.31000000,30408.32000000,25.06278000
2023/07/01,12:04:00,30408.31000000,30408.32000000,30408.31000000,30408.32000000,4.05327000
2023/07/01,12:05:00,30408.31000000,30413.10000000,30408.31000000,30413.09000000,4.22890000
2023/07/01,12:06:00,30413.10000000,30413.10000000,30411.92000000,30411.93000000,13.78502000
2023/07/01,12:07:00,30411.92000000,30411.93000000,30411.92000000,30411.92000000,2.73470000
2023/07/01,12:08:00,30411.92000000,30413.09000000,30411.92000000,30413.09000000,9.50554000
2023/07/01,12:09:00,30413.08000000,30413.09000000,30401.58000000,30401.58000000,24.94922000
2023/07/01,12:10:00,30401.59000000,30401.59000000,30398.10000000,30401.58000000,15.74776000
2023/07/01,12:11:00,30401.59000000,30405.00000000,30399.05000000,30399.05000000,12.70813000
2023/07/01,12:12:00,30399.05000000,30401.00000000,30398.20000000,30400.99000000,4.66404000
2023/07/01,12:13:00,30401.00000000,30401.00000000,30400.99000000,30401.00000000,2.12228000
2023/07/01,12:14:00,30400.99000000,30402.00000000,30388.94000000,30390.83000000,47.77433000
2023/07/01,12:15:00,30390.82000000,30392.29000000,30368.01000000,30370.60000000,21.17334000
2023/07/01,12:16:00,30370.59000000,30372.00000000,30320.57000000,30339.92000000,91.69435000
2023/07/01,12:17:00,30339.92000000,30358.99000000,30334.00000000,30350.78000000,61.43105000
2023/07/01,12:18:00,30350.78000000,30368.84000000,30350.78000000,30368.83000000,18.13870000
2023/07/01,12:19:00,30368.83000000,30368.85000000,30368.83000000,30368.85000000,8.68268000
2023/07/01,12:20:00,30368.84000000,30388.34000000,30364.00000000,30387.94000000,45.63622000
2023/07/01,12:21:00,30387.94000000,30387.95000000,30342.74000000,30353.98000000,27.63012000
2023/07/01,12:22:00,30353.98000000,30357.89000000,30334.74000000,30337.21000000,40.69276000
2023/07/01,12:23:00,30337.22000000,30349.10000000,30337.21000000,30349.10000000,16.86748000
2023/07/01,12:24:00,30349.09000000,30356.24000000,30346.94000000,30346.95000000,9.97935000
